Generating SQLite file report.sqlite from report.nsys-rep
Processing [report.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

                 Range                    Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 --------------------------------------  -------  --------------------  ---------------------  ---------------  -------------  -------------  -------------  -------------  ----------------  -------------  -----------  -------------  -------------
 :prefill                                PushPop           183,459,854            183,733,975                1  183,459,854.0  183,459,854.0    183,459,854    183,459,854               0.0            684        684.0            0.0           12.0
 :warmup                                 PushPop            95,444,724            286,039,064                1   95,444,724.0   95,444,724.0     95,444,724     95,444,724               0.0             96         96.0            0.0           21.0
 :warmup:#4:qmatmul                      PushPop            60,473,974             58,641,838               10    6,047,397.4      268,432.5        266,785     58,058,319      18,274,775.1             50          5.0            1.0            4.0
 :#3:prefill:mlp.c_proj                  PushPop            48,354,476                869,856                1   48,354,476.0   48,354,476.0     48,354,476     48,354,476               0.0             80         80.0            1.0           20.0
 :#3:prefill:mlp.c_proj:custom_qmatmul   PushPop            48,335,628                829,612               20    2,416,781.4    2,414,377.0      1,984,327      2,777,546         146,324.0             80          4.0            2.0            4.0
 :#3:prefill:c_fc                        PushPop            38,479,337              1,131,762                1   38,479,337.0   38,479,337.0     38,479,337     38,479,337               0.0             80         80.0            1.0           20.0
 :#3:prefill:c_fc:custom_qmatmul         PushPop            38,460,137              1,076,403               20    1,923,006.9    1,953,319.0      1,575,974      2,389,673         228,019.3             80          4.0            2.0            4.0
 :#3:prefill:mlp.c_proj:Custom GEMM      PushPop            37,435,911                 93,437               20    1,871,795.6    1,999,591.0      1,623,110      2,160,200         235,041.4             20          1.0            3.0            0.0
 :#3:prefill:c_fc:Custom GEMM            PushPop            36,482,084                138,426               20    1,824,104.2    1,854,615.0      1,476,902      2,290,505         228,114.1             20          1.0            3.0            0.0
 :decode                                 PushPop            34,228,858             34,416,893                1   34,228,858.0   34,228,858.0     34,228,858     34,228,858               0.0            684        684.0            0.0           12.0
 :#3:prefill:c_attn                      PushPop            29,627,177              2,010,243                1   29,627,177.0   29,627,177.0     29,627,177     29,627,177               0.0             80         80.0            1.0           20.0
 :#3:prefill:c_attn:custom_qmatmul       PushPop            29,607,241              1,902,809               20    1,480,362.1    1,555,973.5      1,221,157      2,031,687         242,348.0             80          4.0            2.0            4.0
 :#3:prefill:c_attn:Custom GEMM          PushPop            27,625,953                203,385               20    1,381,297.6    1,456,965.0      1,121,988      1,932,775         242,568.8             20          1.0            3.0            0.0
 :#4:prefill:mlp.c_proj                  PushPop            19,337,573              1,457,125                1   19,337,573.0   19,337,573.0     19,337,573     19,337,573               0.0             80         80.0            1.0           20.0
 :#4:prefill:mlp.c_proj:qmatmul          PushPop            19,112,484              1,407,226               20      955,624.2      818,754.5        817,603      1,551,589         226,947.6             80          4.0            2.0            4.0
 :#4:prefill:c_fc                        PushPop            13,126,894              2,416,959                1   13,126,894.0   13,126,894.0     13,126,894     13,126,894               0.0             80         80.0            1.0           20.0
 :#4:prefill:c_fc:qmatmul                PushPop            13,108,430              2,334,597               20      655,421.5      534,050.0        532,866      1,025,827         195,757.2             80          4.0            2.0            4.0
 :#3:prefill:c_proj                      PushPop            11,748,106              2,452,886                1   11,748,106.0   11,748,106.0     11,748,106     11,748,106               0.0             80         80.0            1.0           20.0
 :#3:prefill:c_proj:custom_qmatmul       PushPop            11,730,665              2,338,287               20      586,533.3      508,785.5        507,778        981,572         162,738.0             80          4.0            2.0            4.0
 :#4:prefill:c_attn                      PushPop            11,633,642              4,209,167                1   11,633,642.0   11,633,642.0     11,633,642     11,633,642               0.0             80         80.0            1.0           20.0
 :#4:prefill:c_attn:qmatmul              PushPop            11,335,657              4,014,559               20      566,782.8      446,385.5        444,833      1,114,980         228,794.1             80          4.0            2.0            4.0
 :#4:prefill:mlp.c_proj:cuBLAS GEMM      PushPop            11,232,807                436,537               20      561,640.3      458,482.0        457,345      1,191,748         219,688.0             20          1.0            3.0            0.0
 :#4:prefill:c_fc:cuBLAS GEMM            PushPop            10,216,809              1,004,434               20      510,840.5      433,394.0        432,386        925,539         164,277.3             20          1.0            3.0            0.0
 :#4:decode:c_proj                       PushPop             9,414,625              9,475,358                1    9,414,625.0    9,414,625.0      9,414,625      9,414,625               0.0            100        100.0            1.0           20.0
